epoch,week,tow,time_gps_s,gt_ecef_x_m,gt_ecef_y_m,gt_ecef_z_m,gt_lat_deg,gt_lon_deg,gt_h_m,gt_vel_x_mps,gt_vel_y_mps,gt_vel_z_mps,speed_mps,is_static
113,2206,379450.00021235,1334568250.00021,-2399703.87099766,5383205.06099788,2429700.72999535,22.5395087038478,114.026167896726,5.93113421336238,0.0110076233387576,-0.00993937643925876,-0.021850780047494,0.0264086267013871,1
114,2206,379451.000214265,1334568251.00021,-2399703.88299801,5383205.11299659,2429700.75099606,22.539508697693,114.026167797464,5.98756273710631,0.00926341082047801,-0.015874396280493,-0.0183667742757871,0.0259835647014953,1
115,2206,379452.000216181,1334568252.00022,-2399703.89399708,5383205.13699398,2429700.78599583,22.5395088982388,114.026167800142,6.02535913300157,0.013482941786211,-0.0277929250151407,-0.0192716236141345,0.0364092279076672,1
116,2206,379453.000218097,1334568253.00022,-2399703.90499699,5383205.16099324,2429700.82099622,22.5395090987828,114.02616780282,6.06315766137402,0.0137900348107941,-0.0309672588958013,-0.0172976255393281,0.0380571154043671,1
117,2206,379454.000220014,1334568254.00022,-2399703.91699797,5383205.16399598,2429700.83599766,22.5395091974959,114.026167897492,6.07595411485114,0.00923402631320085,-0.018263187476162,-0.0106132469201011,0.0230532485547994,1
118,2206,379455.00022193,1334568255.00022,-2399703.92099848,5383205.1709966,2429700.86399798,22.539509403263,114.026167905304,6.09409729780749,0.00682295324037865,-0.0152704900351345,-0.00908808379471965,0.0190350682660552,1
119,2206,379456.000223848,1334568256.00022,-2399703.9229994,5383205.20199865,2429700.88799891,22.539509502608,114.026167800362,6.13020290189222,0.00269464191614363,-0.0060109370726511,-0.00486632476191885,0.00818984592260893,1
120,2206,379457.00022576,1334568257.00023,-2399703.92199971,5383205.22499935,2429700.91999995,22.5395096982045,114.026167700448,6.16149685246915,0.00128313598369192,-0.00284535465761461,-0.000212081299459183,0.00312849157867405,1
121,2206,379458.000227674,1334568258.00023,-2399703.92099935,5383205.2479991,2429700.92899906,22.5395097019559,114.026167600531,6.18397263123464,0.00285513721425414,-0.00394821536158056,-0.00412821958320247,0.00638611070846536,1
122,2206,379459.000229589,1334568259.00023,-2399703.91999941,5383205.24699811,2429700.93999993,22.5395097982834,114.026167595615,6.18696903713846,0.00257086563868553,-0.00821981215582398,-0.000287068584324692,0.00861725422517589,1
